"TF","Spearman_R","P_value","FDR","Significant","Direction"
"ATF4",0.500272084164702,1.1790057236527e-10,2.24011087494014e-09,"FDR < 0.05","Positive"
"E2F1",0.351606777301888,1.33974519540612e-05,8.48505290423873e-05,"FDR < 0.05","Positive"
"DDIT3",0.337791565020712,2.99380009871786e-05,0.000142205504689098,"FDR < 0.05","Positive"
"E2F2",0.291033808771105,0.000351457749149311,0.00133553944676738,"FDR < 0.05","Positive"
"E2F3",0.270040757097325,0.00093870901833175,0.00254792447832904,"FDR < 0.05","Positive"
"MYC",0.254802428769982,0.00177639716969126,0.00421894327801674,"FDR < 0.05","Positive"
"E2F4",0.202482444093182,0.0137082903897091,0.0289397241560525,"FDR < 0.05","Positive"
"E2F6",0.190988276319053,0.0201880203949957,0.0383572387504918,"FDR < 0.05","Positive"
"XBP1",0.179812465526751,0.0288785138286999,0.0498810693404817,"FDR < 0.05","Positive"
"RPTOR",0.166400752210915,0.0433491972368869,0.0686362289584042,"NS","Positive"
"E2F5",0.101159781888449,0.220918378865247,0.318176796598149,"NS","Positive"
"E2F8",0.0983305561907548,0.234446060651268,0.318176796598149,"NS","Positive"
"TP53",0.041093963433369,0.619583718248555,0.755834870190201,"NS","Positive"
"MTOR",0.0209190151663785,0.80054341311207,0.894724991125254,"NS","Positive"
"MYCN",0.00118520044379104,0.988593563040374,0.988593563040374,"NS","Positive"
"E2F7",-0.00129505696079031,0.987536379129927,0.988593563040374,"NS","Negative"
"HIF1A",-0.0391653486613892,0.636492522265433,0.755834870190201,"NS","Negative"
"NFE2L2",-0.27972103044011,0.000602249186883974,0.00190712242513258,"FDR < 0.05","Negative"
"MYCL",-0.388454747035763,1.30833144267846e-06,1.24291487054454e-05,"FDR < 0.05","Negative"
