TF,rho,p_value,p_adj
ATF4,0.4394,0,0
HIF1A,-0.4167,0,0
MTOR,-0.3913,4.18633023414928e-15,2.65134248162788e-14
E2F7,-0.3589,1.39717661132212e-12,6.63658890378007e-12
MYC,0.2967,6.69404482267383e-09,2.30898812788751e-08
E2F8,-0.296,7.29154145648687e-09,2.30898812788751e-08
DDIT3,0.2888,1.71081061640622e-08,4.64362881595974e-08
E2F3,-0.267,1.99093277163188e-07,4.72846533262571e-07
TP53,0.2427,2.40981415120003e-06,5.08738543031118e-06
XBP1,0.1619,0.00178266010776451,0.00338705420475256
NFE2L2,-0.148,0.00430650735653442,0.00743851270674127
RPTOR,-0.1427,0.00595212810749833,0.00942420283687236
E2F4,0.1355,0.00900197784105045,0.0131567368446122
E2F2,-0.0947,0.0683345924881242,0.0927398040910258
MYCN,0.0538,0.301310531794554,0.381660006939768
E2F5,0.0271,0.602848467402823,0.715882555040852
MYCL,0.0158,0.761546964377094,0.851140724892046
E2F6,-0.0082,0.87418910653346,0.89004255118065
E2F1,0.0072,0.89004255118065,0.89004255118065
